Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
Model:,MSO-X 4154A,,2023-05-18 20:31:34.788,4.9949E-08
Serial Number:,MY60101365,,2023-05-18 20:31:35.405,4.8929E-08
Firmware Version:,07.31.2020012900,,2023-05-18 20:31:36.025,5.0803E-08
Start Time:,2023-05-18 20:31:34.788,,2023-05-18 20:31:36.665,4.9311E-08
Stop Time:,2023-05-18 20:46:35.684,,2023-05-18 20:31:37.304,4.96E-08
Sample Period:,0.5,,2023-05-18 20:31:37.941,4.7629E-08
,,,2023-05-18 20:31:38.572,4.9704E-08
,,,2023-05-18 20:31:39.207,5.1082E-08
,,,2023-05-18 20:31:39.843,4.9302E-08
,,,2023-05-18 20:31:40.472,4.9234E-08
,,,2023-05-18 20:31:41.104,5.1053E-08
,,,2023-05-18 20:31:41.736,4.806E-08
,,,2023-05-18 20:31:42.371,4.8958E-08
,,,2023-05-18 20:31:43.002,4.9577E-08
,,,2023-05-18 20:31:43.635,4.796E-08
,,,2023-05-18 20:31:44.272,4.9039E-08
,,,2023-05-18 20:31:44.906,5.0601E-08
,,,2023-05-18 20:31:45.543,4.9216E-08
,,,2023-05-18 20:31:46.172,4.9874E-08
,,,2023-05-18 20:31:46.803,5.0797E-08
,,,2023-05-18 20:31:47.436,4.9578E-08
,,,2023-05-18 20:31:48.076,4.9957E-08
,,,2023-05-18 20:31:48.709,5.0625E-08
,,,2023-05-18 20:31:49.348,4.9175E-08
,,,2023-05-18 20:31:49.984,4.7527E-08
,,,2023-05-18 20:31:50.621,5.0344E-08
,,,2023-05-18 20:31:51.253,5.0341E-08
,,,2023-05-18 20:31:51.897,5.0791E-08
,,,2023-05-18 20:31:52.531,4.7568E-08
,,,2023-05-18 20:31:53.168,4.8014E-08
,,,2023-05-18 20:31:53.804,4.8395E-08
,,,2023-05-18 20:31:54.439,4.9673E-08
,,,2023-05-18 20:31:55.076,4.7935E-08
,,,2023-05-18 20:31:55.714,5.0958E-08
,,,2023-05-18 20:31:56.345,5.0696E-08
,,,2023-05-18 20:31:56.978,5.019E-08
,,,2023-05-18 20:31:57.612,4.8649E-08
,,,2023-05-18 20:31:58.247,5.2234E-08
,,,2023-05-18 20:31:58.885,4.9471E-08
,,,2023-05-18 20:31:59.521,4.868E-08
,,,2023-05-18 20:32:00.158,4.839E-08
,,,2023-05-18 20:32:00.787,4.9866E-08
,,,2023-05-18 20:32:01.421,5.0457E-08
,,,2023-05-18 20:32:02.056,4.7888E-08
,,,2023-05-18 20:32:02.691,5.0741E-08
,,,2023-05-18 20:32:03.322,5.0492E-08
,,,2023-05-18 20:32:03.950,5.0162E-08
,,,2023-05-18 20:32:04.593,4.9646E-08
,,,2023-05-18 20:32:05.231,4.7341E-08
,,,2023-05-18 20:32:05.867,5.0296E-08
,,,2023-05-18 20:32:06.505,4.8738E-08
,,,2023-05-18 20:32:07.147,5.0124E-08
,,,2023-05-18 20:32:07.782,4.9594E-08
,,,2023-05-18 20:32:08.419,5.025E-08
,,,2023-05-18 20:32:09.061,4.9366E-08
,,,2023-05-18 20:32:09.695,4.9965E-08
,,,2023-05-18 20:32:10.331,5.2111E-08
,,,2023-05-18 20:32:10.972,5.0463E-08
,,,2023-05-18 20:32:11.610,5.0463E-08
,,,2023-05-18 20:32:12.247,4.9791E-08
,,,2023-05-18 20:32:12.883,4.9117E-08
,,,2023-05-18 20:32:13.521,4.9129E-08
,,,2023-05-18 20:32:14.161,4.9204E-08
,,,2023-05-18 20:32:14.795,4.9816E-08
,,,2023-05-18 20:32:15.427,4.7977E-08
,,,2023-05-18 20:32:16.063,4.942E-08
,,,2023-05-18 20:32:16.708,4.9167E-08
,,,2023-05-18 20:32:17.345,5.1303E-08
,,,2023-05-18 20:32:17.978,5.0541E-08
,,,2023-05-18 20:32:18.623,5.012E-08
,,,2023-05-18 20:32:19.260,4.8427E-08
,,,2023-05-18 20:32:19.896,5.042E-08
,,,2023-05-18 20:32:20.532,4.9263E-08
,,,2023-05-18 20:32:21.173,4.9402E-08
,,,2023-05-18 20:32:21.809,5.1875E-08
,,,2023-05-18 20:32:22.443,5.1389E-08
,,,2023-05-18 20:32:23.080,4.959E-08
,,,2023-05-18 20:32:23.723,5.0787E-08
,,,2023-05-18 20:32:24.365,5.1789E-08
,,,2023-05-18 20:32:25.003,4.9515E-08
,,,2023-05-18 20:32:25.636,5.1676E-08
,,,2023-05-18 20:32:26.276,4.9409E-08
,,,2023-05-18 20:32:26.915,4.7891E-08
,,,2023-05-18 20:32:27.553,4.9621E-08
,,,2023-05-18 20:32:28.202,5.0077E-08
,,,2023-05-18 20:32:28.840,4.9868E-08
,,,2023-05-18 20:32:29.480,4.8585E-08
,,,2023-05-18 20:32:30.119,4.9514E-08
,,,2023-05-18 20:32:30.757,5.057E-08
,,,2023-05-18 20:32:31.400,5.0544E-08
,,,2023-05-18 20:32:32.040,5.0263E-08
,,,2023-05-18 20:32:32.677,4.9475E-08
,,,2023-05-18 20:32:33.316,5.1364E-08
,,,2023-05-18 20:32:33.956,4.9096E-08
,,,2023-05-18 20:32:34.591,5.0433E-08
,,,2023-05-18 20:32:35.220,4.9516E-08
,,,2023-05-18 20:32:35.852,5.0517E-08
,,,2023-05-18 20:32:36.474,5.1339E-08
,,,2023-05-18 20:32:37.115,4.9844E-08
,,,2023-05-18 20:32:37.751,4.8923E-08
,,,2023-05-18 20:32:38.388,4.9047E-08
,,,2023-05-18 20:32:39.033,4.8996E-08
,,,2023-05-18 20:32:39.668,4.8968E-08
,,,2023-05-18 20:32:40.303,4.831E-08
,,,2023-05-18 20:32:40.940,4.7677E-08
,,,2023-05-18 20:32:41.580,5.0375E-08
,,,2023-05-18 20:32:42.220,4.8305E-08
,,,2023-05-18 20:32:42.859,4.8691E-08
,,,2023-05-18 20:32:43.501,4.985E-08
,,,2023-05-18 20:32:44.136,4.7961E-08
,,,2023-05-18 20:32:44.771,4.8873E-08
,,,2023-05-18 20:32:45.412,5.0333E-08
,,,2023-05-18 20:32:46.052,5.0366E-08
,,,2023-05-18 20:32:46.691,5.0148E-08
,,,2023-05-18 20:32:47.335,5.0402E-08
,,,2023-05-18 20:32:47.972,5.0978E-08
,,,2023-05-18 20:32:48.605,4.8671E-08
,,,2023-05-18 20:32:49.239,4.9412E-08
,,,2023-05-18 20:32:49.880,4.9807E-08
,,,2023-05-18 20:32:50.517,4.8818E-08
,,,2023-05-18 20:32:51.162,4.9372E-08
,,,2023-05-18 20:32:51.800,5.0225E-08
,,,2023-05-18 20:32:52.439,5.016E-08
,,,2023-05-18 20:32:53.077,4.9097E-08
,,,2023-05-18 20:32:53.715,4.9844E-08
,,,2023-05-18 20:32:54.355,5.0197E-08
,,,2023-05-18 20:32:54.994,5.0908E-08
,,,2023-05-18 20:32:55.632,5.0631E-08
,,,2023-05-18 20:32:56.270,4.9839E-08
,,,2023-05-18 20:32:56.908,4.7642E-08
,,,2023-05-18 20:32:57.547,5.141E-08
,,,2023-05-18 20:32:58.181,5.0536E-08
,,,2023-05-18 20:32:58.812,4.9471E-08
,,,2023-05-18 20:32:59.453,5.0839E-08
,,,2023-05-18 20:33:00.089,5.0092E-08
,,,2023-05-18 20:33:00.722,5.0408E-08
,,,2023-05-18 20:33:01.358,4.875E-08
,,,2023-05-18 20:33:01.993,5.0044E-08
,,,2023-05-18 20:33:02.633,4.9825E-08
,,,2023-05-18 20:33:03.272,4.9829E-08
,,,2023-05-18 20:33:03.906,5.1103E-08
,,,2023-05-18 20:33:04.547,4.952E-08
,,,2023-05-18 20:33:05.190,5.0441E-08
,,,2023-05-18 20:33:05.827,5.0403E-08
,,,2023-05-18 20:33:06.466,4.8159E-08
,,,2023-05-18 20:33:07.101,4.86E-08
,,,2023-05-18 20:33:07.740,5.0785E-08
,,,2023-05-18 20:33:08.378,4.7677E-08
,,,2023-05-18 20:33:09.014,5.2935E-08
,,,2023-05-18 20:33:09.656,4.9792E-08
,,,2023-05-18 20:33:10.293,4.9272E-08
